"CIUO88_AC","CIUO88OIT","CNO70","SENA2003"
" 3112 ",NA," 03340 ",NA
" 3112 ",NA," 03390 ",NA
" 3113 ","3113"," 03405 "," 2241 "
" 3113 ",NA," 03420 "," 2244 "
" 3113 ",NA," 03410 ",NA
" 3113 ",NA," 03490 ",NA
" 3114 ","3114"," 03410 "," 2232 "
" 3114 ",NA," 03490 "," 2242 "
" 3114 ",NA," 03430 ",NA
" 3114 ",NA," 85215 ",NA
" 3115 ","3115"," 03510 "," 2232 "
" 3115 ",NA," 03550 "," 8375 "
" 3115 ",NA," 03520 "," 8342 "
" 3115 ",NA," 03560 "," 8381 "
" 3115 ",NA," 03530 "," 8374 "
" 3115 ",NA," 03590 ",NA
" 3115 ",NA," 03540 ",NA
" 3116 ","2149"," 03610 "," 2211 "
" 3116 ",NA," 03690 "," 2233 "
" 3116 ",NA," 03620 ",NA
" 3116 ",NA," 03920 ",NA
" 3116 ",NA," 03640 ",NA
" 3116 ",NA," 03930 ",NA
" 3116 ",NA," 03940 ",NA
" 3116 ",NA," 05255 ",NA
" 3117 ","3117"," 03720 "," 2212 "
" 3117 ",NA," 03820 "," 7312 "
" 3117 ",NA," 03730 ",NA
" 3117 ",NA," 03890 ",NA
" 3117 ",NA," 03790 ",NA
" 3117 ",NA," 71350 ",NA
" 3117 ",NA," 71370 ",NA
" 3118 ","3118"," 03210 "," 2232 "
" 3118 ",NA," 03260 "," 2252 "
" 3118 ",NA," 03220 "," 2254 "
" 3118 ",NA," 03270 "," 5223 "
" 3118 ",NA," 03230 ",NA
" 3118 ",NA," 03280 ",NA
" 3118 ",NA," 03240 ",NA
" 3118 ",NA," 03290 ",NA
" 3118 ",NA," 03250 ",NA
" 3118 ",NA," 16220 ",NA
" 3119 ","<NA>"," 85715 ",NA
" 3121 ","2131"," 08310 "," 2171 "
" 3122 ","2132"," 08420 "," 2171 "
" 3122 ",NA,NA," 2281 "
" 3122 ",NA,NA," 2173 "
" 3123 ","3122",NA," 2172 "
" 3124 ","3123",NA," 2242 "
" 3131 ","3131"," 16310 "," 5221 "
" 3131 ",NA," 16390 "," 5225 "
" 3131 ",NA," 16320 "," 5222 "
" 3131 ",NA," 16370 "," 5226 "
" 3131 ",NA," 16330 "," 5224 "
" 3131 ",NA," 86220 "," 5227 "
" 3131 ",NA," 16340 ",NA
" 3131 ",NA," 86230 ",NA
" 3131 ",NA," 86290 ",NA
" 3132 ","3132"," 38030 "," 1373 "
" 3132 ",NA," 86130 "," 5225 "
" 3132 ",NA," 38040 "," 5222 "
" 3132 ",NA," 86140 "," 5226 "
" 3132 ",NA," 38050 "," 5224 "
" 3132 ",NA," 86190 "," 5227 "
" 3132 ",NA," 38060 ",NA
" 3132 ",NA," 86240 ",NA
" 3132 ",NA," 86290 ",NA
" 3133 ","3133"," 07710 "," 3113 "
" 3133 ",NA," 07960 "," 3214 "
" 3133 ",NA,NA," 3212 "
" 3133 ",NA,NA," 3234 "
" 3133 ",NA,NA," 3139 "
" 3139 ","3139",NA," 2261 "
" 3141 ","3141"," 04315 "," 2274 "
" 3141 ",NA," 04330 ",NA
" 3141 ",NA," 04320 ",NA
" 3142 ","3142"," 04215 "," 2273 "
" 3142 ",NA," 04240 "," 7241 "
" 3142 ",NA," 04220 ",NA
" 3142 ",NA," 04250 ",NA
" 3142 ",NA," 04230 ",NA
" 3142 ",NA," 04290 ",NA
" 3143 ","3143"," 04120 "," 2271 "
" 3143 ",NA," 04140 "," 8374 "
" 3143 ",NA," 04130 "," 6333 "
" 3143 ",NA," 04150 ",NA
" 3144 ","3144"," 35960 "," 2272 "
" 3144 ",NA," 98960 "," 8484 "
" 3145 ","3145",NA," 2244 "
" 3145 ",NA,NA," 2272 "
" 3151 ","3151"," 58120 "," 2233 "
" 3151 ",NA," 58190 "," 2263 "
" 3152 ","3152"," 03650 "," 1111 "
" 3152 ",NA," 75487 "," 9335 "
" 3152 ",NA," 03660 "," 2211 "
" 3152 ",NA," 78940 "," 9344 "
" 3152 ",NA," 03740 "," 2221 "
" 3152 ",NA," 79570 "," 9355 "
" 3152 ",NA," 04330 "," 2233 "
" 3152 ",NA," 80260 "," 9365 "
" 3152 ",NA," 07940 "," 2261 "
" 3152 ",NA," 84978 "," 9381 "
" 3152 ",NA," 75187 "," 2262 "
" 3152 ",NA," 85920 "," 9382 "
" 3152 ",NA," 75285 "," 2264 "
" 3152 ",NA," 94980 "," 9383 "
" 3152 ",NA,NA," 9384 "
" 3152 ",NA,NA," 9385 "
" 3152 ",NA,NA," 9386 "
" 3152 ",NA,NA," 9387 "
" 3152 ",NA,NA," 9391 "
" 3152 ",NA,NA," 9392 "
" 3152 ",NA,NA," 9394 "
" 3152 ",NA,NA," 9397 "
" 3211 ","3211"," 05420 "," 2121 "
" 3211 ",NA," 05440 "," 3142 "
" 3211 ",NA," 05430 "," 2211 "
" 3211 ",NA," 94920 "," 3211 "
" 3211 ",NA,NA," 3314 "
" 3211 ",NA,NA," 5211 "
" 3212 ","3212"," 05490 "," 2123 "
" 3212 ",NA,NA," 7221 "
" 3212 ",NA,NA," 2221 "
" 3212 ",NA,NA," 7222 "
" 3221 ","3221"," 06210 "," 3112 "
" 3221 ",NA,NA," 3313 "
" 3221 ",NA,NA," 3316 "
" 3222 ","3222",NA," 3313 "
" 3223 ","3224"," 07530 "," 3231 "
" 3223 ",NA," 89172 "," 3234 "
" 3224 ","3225"," 06420 "," 3221 "
" 3224 ",NA," 06440 "," 3312 "
" 3224 ",NA," 06430 "," 3222 "
" 3224 ",NA," 84250 ",NA
" 3225 ","3226"," 07630 "," 3122 "
" 3225 ",NA," 07930 "," 3212 "
" 3225 ",NA," 07640 "," 3141 "
" 3225 ",NA," 07950 "," 3232 "
" 3225 ",NA," 07920 "," 3142 "
" 3225 ",NA," 07990 "," 3233 "
" 3225 ",NA,NA," 3234 "
" 3226 ","3227"," 06610 "," 2221 "
" 3227 ","3228"," 03630 "," 3131 "
" 3227 ",NA," 06810 "," 3315 "
" 3227 ",NA,NA," 3232 "
" 3229 ","<NA>",NA," 3233 "
" 3231 ","3241"," 07990 "," 3232 "
" 3232 ","3242"," 14920 "," 3232 "
" 3233 ","",NA,NA
" 3311 ","<NA>",NA," 4121 "
" 3312 ","3320",NA," 6372 "
" 3320 ","3330",NA," 4214 "
" 3331 ","<NA>",NA," 4131 "
" 3331 ",NA,NA," 5134 "
" 3331 ",NA,NA," 5135 "
" 3332 ","<NA>",NA," 4131 "
" 3332 ",NA,NA," 5244 "
" 3333 ","3340"," 04160 "," 2271 "
" 3411 ","3412"," 19950 "," 1233 "
" 3411 ",NA," 44120 "," 6231 "
" 3411 ",NA," 39350 ",NA
" 3411 ",NA," 44190 ",NA
" 3412 ","3412"," 44130 "," 6232 "
" 3413 ","3414",NA," 6331 "
" 3414 ","3415"," 39375 "," 4172 "
" 3414 ",NA," 44220 "," 6311 "
" 3414 ",NA," 43120 "," 6233 "
" 3414 ",NA," 43240 ",NA
" 3414 ",NA," 43130 ",NA
" 3414 ",NA," 43230 ",NA
" 3414 ",NA," 44240 ",NA
" 3414 ",NA," 44250 ",NA
" 3415 ","3416"," 42220 "," 1224 "
" 3415 ",NA," 42240 "," 6234 "
" 3415 ",NA," 42230 ",NA
" 3416 ","3417"," 44320 "," 1233 "
" 3416 ",NA," 44330 "," 6311 "
" 3419 ","3419",NA,NA
" 3421 ","3421",NA," 6234 "
" 3422 ","3422"," 39160 "," 1226 "
" 3422 ",NA," 39170 "," 1234 "
" 3422 ",NA,NA," 1227 "
" 3423 ","3423",NA," 4212 "
" 3429 ","3429"," 19990 "," 1228 "
" 3429 ",NA," 44230 "," 6234 "
" 3429 ",NA,NA," 5226 "
" 3429 ",NA,NA," 6311 "
" 3431 ","3431"," 39390 "," 1221 "
" 3431 ",NA,NA," 4216 "
" 3431 ",NA,NA," 5212 "
" 3431 ",NA,NA," 0114 "
" 3432 ","3432"," 39340 "," 1225 "
" 3432 ",NA,NA," 4216 "
" 3432 ",NA,NA," 6224 "
" 3432 ",NA,NA," 6231 "
" 3433 ","3433"," 33135 "," 1231 "
" 3433 ",NA," 33145 "," 1331 "
" 3433 ",NA," 33140 "," 1232 "
" 3434 ","3434"," 08490 "," 2161 "
" 3439 ","3439",NA," 1221 "
" 3441 ","3441"," 58260 "," 1226 "
" 3442 ","3442"," 31030 "," 1226 "
